engagement,ad_name,campaign,date,reach,spend
418,XBrand | Get Rewarded | Bonus Points | Save More | Travel Smart | Limited Time,XBrand | Holiday Cashback | Savings Fiesta | Back to School,2023-05-03,"8,823",LKR620.02
49,XBrand | Travel Smart | Exclusive Offer | Limited Time,XBrand | Digital Drive | Diwali Deals | Green Finance | Savings Fiesta | Back to School,2023-05-03,"35,395",LKR613.56
95,XBrand | Swipe and Win | Gift Vouchers | Bonus Points | Get Rewarded,XBrand | Back to School | Auto Loans Special | Diwali Deals | Digital Drive | Green Finance,2023-05-03,"65,075","LKR1,274.56"
507,XBrand | Limited Time | Easy Payments | Zero Interest | Get Rewarded | Swipe and Win,XBrand | Diwali Deals | Back to School | Holiday Cashback | Summer Bonanza | Gold Loan Offers,2023-05-03,"7,943","LKR1,178.02"
"3,503",XBrand | Save More | Weekend Treat | Exclusive Offer | Gift Vouchers,XBrand | Savings Fiesta | Lifestyle Rewards | Back to School | Luxury Travel | Auto Loans Special,2023-05-03,"26,025",LKR370.94
"6,297",XBrand | Win Big | Travel Smart | Weekend Treat | Limited Time,XBrand | Diwali Deals | Gold Loan Offers | Savings Fiesta | Lifestyle Rewards | Flash Sale,2023-05-03,"9,507",LKR317.99
"6,264",XBrand | Limited Time | Swipe and Win | Exclusive Offer | Bonus Points | Zero Interest,XBrand | Auto Loans Special | Flash Sale | Savings Fiesta | Lifestyle Rewards,2023-05-04,"36,257","LKR3,241.02"
"3,922",XBrand | Bonus Points | Travel Smart | Win Big,XBrand | Digital Drive | Holiday Cashback | Auto Loans Special | Back to School,2023-05-04,"36,060","LKR2,974.46"
"4,659",XBrand | Get Rewarded | Limited Time | Gift Vouchers | Swipe and Win,XBrand | Gold Loan Offers | Savings Fiesta | Diwali Deals | Luxury Travel | Flash Sale,2023-05-04,"35,952","LKR3,218.82"
"24,576",XBrand | Exclusive Offer | Easy Payments | Save More,XBrand | Savings Fiesta | Flash Sale | Auto Loans Special | Diwali Deals,2023-05-04,"94,743","LKR10,041.54"
"6,012",XBrand | Win Big | Weekend Treat | Save More,XBrand | Savings Fiesta | Flash Sale | Diwali Deals | Lifestyle Rewards | Back to School,2023-05-04,"39,423","LKR3,782.70"
"8,543",XBrand | Save More | Exclusive Offer | Easy Payments,XBrand | Summer Bonanza | Green Finance | Auto Loans Special | Back to School,2023-05-04,"50,157","LKR6,046.64"
"11,947",XBrand | Win Big | Exclusive Offer | Zero Interest,XBrand | Savings Fiesta | Diwali Deals | Digital Drive,2023-05-04,"46,347","LKR6,489.45"
"11,472",XBrand | Bonus Points | Gift Vouchers | Easy Payments | Win Big,XBrand | Gold Loan Offers | Green Finance | Savings Fiesta,2023-05-04,"43,425","LKR5,996.13"
"2,473",XBrand | Zero Interest | Save More | Gift Vouchers | Weekend Treat,XBrand | Digital Drive | Holiday Cashback | Flash Sale,2023-05-04,"47,407",LKR656.95
"11,191",XBrand | Win Big | Save More | Limited Time | Bonus Points | Exclusive Offer,XBrand | Auto Loans Special | Back to School | Luxury Travel | Holiday Cashback | Digital Drive,2023-05-04,"21,542",LKR757.62
"2,518",XBrand | Save More | Weekend Treat | Limited Time | Easy Payments | Travel Smart,XBrand | Flash Sale | Holiday Cashback | Diwali Deals,2023-05-04,"51,591",LKR967.92
"5,226",XBrand | Travel Smart | Swipe and Win | Bonus Points | Easy Payments,XBrand | Diwali Deals | Flash Sale | Luxury Travel,2023-05-04,"9,465","LKR1,015.35"
151,XBrand | Gift Vouchers | Bonus Points | Limited Time | Zero Interest | Get Rewarded,XBrand | Digital Drive | Holiday Cashback | Green Finance | Back to School | Flash Sale,2023-05-04,"62,525","LKR1,274.64"
"1,620",XBrand | Win Big | Zero Interest | Gift Vouchers | Exclusive Offer,XBrand | Lifestyle Rewards | Gold Loan Offers | Savings Fiesta,2023-05-04,"14,002","LKR1,403.69"
55,XBrand | Win Big | Travel Smart | Swipe and Win,XBrand | Luxury Travel | Back to School | Savings Fiesta,2023-05-04,"26,569",LKR494.60
578,XBrand | Swipe and Win | Travel Smart | Limited Time | Zero Interest,XBrand | Gold Loan Offers | Digital Drive | Holiday Cashback | Green Finance | Diwali Deals,2023-05-04,"4,976",LKR340.24
"30,349",XBrand | Exclusive Offer | Save More | Gift Vouchers | Swipe and Win,XBrand | Luxury Travel | Digital Drive | Back to School | Flash Sale,2023-05-04,"117,147","LKR14,435.36"
104,XBrand | Win Big | Weekend Treat | Save More | Travel Smart,XBrand | Flash Sale | Digital Drive | Green Finance,2023-05-04,"72,033","LKR1,001.65"
514,XBrand | Bonus Points | Swipe and Win | Weekend Treat,XBrand | Savings Fiesta | Back to School | Flash Sale | Auto Loans Special,2023-05-04,"17,593","LKR1,262.07"
"3,109",XBrand | Easy Payments | Win Big | Zero Interest | Travel Smart,XBrand | Flash Sale | Back to School | Green Finance,2023-05-04,"19,399",LKR289.36
"7,483",XBrand | Get Rewarded | Weekend Treat | Swipe and Win | Travel Smart,XBrand | Summer Bonanza | Savings Fiesta | Flash Sale | Back to School | Digital Drive,2023-05-04,"13,314",LKR342.13
"1,839",XBrand | Bonus Points | Swipe and Win | Easy Payments | Exclusive Offer,XBrand | Holiday Cashback | Auto Loans Special | Diwali Deals | Luxury Travel | Back to School,2023-05-05,"34,281",LKR784.71
"8,639",XBrand | Weekend Treat | Zero Interest | Get Rewarded,XBrand | Luxury Travel | Savings Fiesta | Auto Loans Special | Green Finance | Digital Drive,2023-05-05,"12,875",LKR642.85
"1,356",XBrand | Save More | Swipe and Win | Exclusive Offer | Easy Payments,XBrand | Lifestyle Rewards | Diwali Deals | Luxury Travel | Savings Fiesta | Gold Loan Offers,2023-05-05,"48,879","LKR1,343.04"
"6,560",XBrand | Win Big | Zero Interest | Save More,XBrand | Summer Bonanza | Back to School | Digital Drive,2023-05-05,"8,715","LKR1,449.89"
165,XBrand | Exclusive Offer | Swipe and Win | Limited Time | Save More,XBrand | Savings Fiesta | Summer Bonanza | Auto Loans Special | Luxury Travel,2023-05-05,"74,862","LKR1,620.76"
"1,860",XBrand | Zero Interest | Swipe and Win | Get Rewarded,XBrand | Savings Fiesta | Back to School | Auto Loans Special,2023-05-05,"14,725","LKR1,976.40"
155,XBrand | Easy Payments | Get Rewarded | Save More | Travel Smart | Exclusive Offer,XBrand | Savings Fiesta | Digital Drive | Summer Bonanza | Green Finance,2023-05-05,"49,552","LKR1,112.94"
"1,678",XBrand | Win Big | Travel Smart | Exclusive Offer | Limited Time | Bonus Points,XBrand | Summer Bonanza | Auto Loans Special | Holiday Cashback | Digital Drive,2023-05-05,"14,099","LKR1,295.12"
"1,800",XBrand | Bonus Points | Get Rewarded | Limited Time,XBrand | Diwali Deals | Savings Fiesta | Summer Bonanza | Green Finance,2023-05-05, -   ,"LKR1,385.35"
"1,991",XBrand | Exclusive Offer | Limited Time | Weekend Treat | Zero Interest,XBrand | Auto Loans Special | Summer Bonanza | Back to School,2023-05-05, -   ,"LKR1,344.56"
"2,187",XBrand | Limited Time | Save More | Swipe and Win | Zero Interest,XBrand | Gold Loan Offers | Summer Bonanza | Diwali Deals,2023-05-05, -   ,"LKR1,156.38"
88,XBrand | Weekend Treat | Easy Payments | Limited Time,XBrand | Back to School | Auto Loans Special | Lifestyle Rewards | Green Finance,2023-05-05,"46,085","LKR1,163.24"
391,XBrand | Swipe and Win | Win Big | Limited Time | Gift Vouchers | Zero Interest,XBrand | Summer Bonanza | Auto Loans Special | Holiday Cashback | Luxury Travel,2023-05-05,"14,712","LKR1,117.84"
"1,666",XBrand | Bonus Points | Travel Smart | Gift Vouchers | Zero Interest,XBrand | Green Finance | Savings Fiesta | Diwali Deals | Back to School,2023-05-05,"16,148",LKR308.85
"6,151",XBrand | Weekend Treat | Limited Time | Easy Payments,XBrand | Lifestyle Rewards | Flash Sale | Gold Loan Offers,2023-05-05,"9,017",LKR297.08
"2,523",XBrand | Limited Time | Weekend Treat | Zero Interest,XBrand | Luxury Travel | Summer Bonanza | Diwali Deals,2023-05-06,"32,284",LKR734.85
"9,278",XBrand | Limited Time | Exclusive Offer | Swipe and Win | Bonus Points | Save More,XBrand | Holiday Cashback | Lifestyle Rewards | Flash Sale | Summer Bonanza | Digital Drive,2023-05-06,"13,599",LKR664.73
"1,487",XBrand | Bonus Points | Weekend Treat | Save More,XBrand | Diwali Deals | Flash Sale | Auto Loans Special | Green Finance,2023-05-06,"61,664","LKR1,298.24"
"6,044",XBrand | Win Big | Easy Payments | Get Rewarded | Zero Interest | Limited Time,XBrand | Summer Bonanza | Digital Drive | Luxury Travel,2023-05-06,"12,208","LKR1,338.59"
149,XBrand | Zero Interest | Win Big | Swipe and Win,XBrand | Auto Loans Special | Flash Sale | Gold Loan Offers,2023-05-06,"66,541","LKR1,692.38"
"2,008",XBrand | Bonus Points | Get Rewarded | Win Big | Travel Smart | Weekend Treat,XBrand | Lifestyle Rewards | Gold Loan Offers | Savings Fiesta | Flash Sale | Green Finance,2023-05-06,"14,180","LKR1,934.03"
171,XBrand | Swipe and Win | Get Rewarded | Win Big,XBrand | Gold Loan Offers | Auto Loans Special | Lifestyle Rewards | Flash Sale,2023-05-06,"43,782",LKR954.72
"1,774",XBrand | Bonus Points | Swipe and Win | Gift Vouchers | Get Rewarded,XBrand | Summer Bonanza | Gold Loan Offers | Digital Drive | Auto Loans Special,2023-05-06,"13,035",LKR982.32
"1,939",XBrand | Exclusive Offer | Limited Time | Travel Smart | Get Rewarded | Bonus Points,XBrand | Digital Drive | Summer Bonanza | Diwali Deals,2023-05-06, -   ,LKR999.47
"1,711",XBrand | Win Big | Zero Interest | Gift Vouchers | Limited Time | Get Rewarded,XBrand | Summer Bonanza | Flash Sale | Diwali Deals | Auto Loans Special,2023-05-06,"17,429",LKR320.27
"5,064",XBrand | Limited Time | Weekend Treat | Travel Smart | Easy Payments | Bonus Points,XBrand | Luxury Travel | Savings Fiesta | Green Finance,2023-05-06,"9,188",LKR432.58
"2,053",XBrand | Exclusive Offer | Save More | Limited Time | Easy Payments,XBrand | Digital Drive | Holiday Cashback | Summer Bonanza | Gold Loan Offers,2023-05-07,"37,853",LKR673.56
"7,547",XBrand | Swipe and Win | Gift Vouchers | Travel Smart | Exclusive Offer,XBrand | Diwali Deals | Green Finance | Luxury Travel,2023-05-07,"13,214",LKR731.29
"1,584",XBrand | Weekend Treat | Bonus Points | Exclusive Offer | Gift Vouchers,XBrand | Back to School | Lifestyle Rewards | Gold Loan Offers | Luxury Travel | Green Finance,2023-05-07,"55,941","LKR1,239.67"
"6,737",XBrand | Gift Vouchers | Easy Payments | Get Rewarded | Travel Smart | Bonus Points,XBrand | Green Finance | Luxury Travel | Gold Loan Offers | Summer Bonanza | Auto Loans Special,2023-05-07,"11,441","LKR1,287.53"
"8,434",XBrand | Save More | Easy Payments | Gift Vouchers | Weekend Treat | Exclusive Offer,XBrand | Summer Bonanza | Diwali Deals | Digital Drive | Lifestyle Rewards | Auto Loans Special,2023-05-07,"318,332","LKR11,390.41"
"7,955",XBrand | Gift Vouchers | Weekend Treat | Limited Time | Exclusive Offer,XBrand | Auto Loans Special | Back to School | Diwali Deals | Flash Sale | Holiday Cashback,2023-05-07,"259,984","LKR8,842.65"
"1,891",XBrand | Zero Interest | Get Rewarded | Bonus Points,XBrand | Flash Sale | Green Finance | Gold Loan Offers,2023-05-07,"19,028",LKR320.99
"5,380",XBrand | Get Rewarded | Easy Payments | Travel Smart,XBrand | Auto Loans Special | Savings Fiesta | Gold Loan Offers | Luxury Travel | Flash Sale,2023-05-07,"8,590",LKR320.16
"2,728",XBrand | Save More | Get Rewarded | Zero Interest | Limited Time | Easy Payments,XBrand | Luxury Travel | Back to School | Summer Bonanza | Diwali Deals | Gold Loan Offers,2023-05-08,"41,145",LKR670.22
"11,133",XBrand | Win Big | Get Rewarded | Easy Payments,XBrand | Flash Sale | Savings Fiesta | Lifestyle Rewards | Auto Loans Special,2023-05-08,"21,427",LKR673.64
"12,609",XBrand | Zero Interest | Weekend Treat | Get Rewarded,XBrand | Savings Fiesta | Luxury Travel | Digital Drive | Auto Loans Special | Flash Sale,2023-05-08, -   ,LKR697.38
"2,531",XBrand | Weekend Treat | Win Big | Save More,XBrand | Summer Bonanza | Back to School | Green Finance,2023-05-08,"17,826",LKR276.29
"4,490",XBrand | Swipe and Win | Exclusive Offer | Easy Payments | Get Rewarded,XBrand | Holiday Cashback | Digital Drive | Back to School,2023-05-08,"10,476",LKR268.30
"4,240",XBrand | Zero Interest | Bonus Points | Win Big | Swipe and Win | Travel Smart,XBrand | Auto Loans Special | Lifestyle Rewards | Savings Fiesta | Flash Sale | Summer Bonanza,2023-05-09,"42,519",LKR670.74
"12,657",XBrand | Weekend Treat | Limited Time | Get Rewarded | Zero Interest,XBrand | Back to School | Diwali Deals | Lifestyle Rewards | Flash Sale,2023-05-09,"26,431",LKR691.58
136,XBrand | Gift Vouchers | Save More | Exclusive Offer,XBrand | Diwali Deals | Digital Drive | Lifestyle Rewards | Auto Loans Special | Holiday Cashback,2023-05-09,"70,273","LKR2,101.50"
540,XBrand | Easy Payments | Limited Time | Get Rewarded | Bonus Points,XBrand | Holiday Cashback | Diwali Deals | Luxury Travel | Savings Fiesta | Green Finance,2023-05-09,"6,241","LKR1,886.53"
"5,590",XBrand | Save More | Zero Interest | Weekend Treat | Win Big,XBrand | Luxury Travel | Summer Bonanza | Auto Loans Special | Flash Sale,2023-05-10,"86,093","LKR3,991.28"
"21,949",XBrand | Bonus Points | Easy Payments | Save More | Weekend Treat,XBrand | Green Finance | Lifestyle Rewards | Auto Loans Special,2023-05-10,"40,961","LKR3,977.46"
189,XBrand | Easy Payments | Save More | Bonus Points,XBrand | Savings Fiesta | Auto Loans Special | Holiday Cashback | Digital Drive | Lifestyle Rewards,2023-05-10,"74,736","LKR3,417.42"
462,XBrand | Limited Time | Easy Payments | Swipe and Win | Travel Smart,XBrand | Digital Drive | Flash Sale | Back to School | Green Finance | Holiday Cashback,2023-05-10,"4,090","LKR1,386.63"
121,XBrand | Win Big | Zero Interest | Exclusive Offer | Travel Smart,XBrand | Holiday Cashback | Gold Loan Offers | Flash Sale | Diwali Deals | Lifestyle Rewards,2023-05-10,"66,675","LKR1,378.20"
110,XBrand | Weekend Treat | Exclusive Offer | Get Rewarded | Save More,XBrand | Diwali Deals | Summer Bonanza | Flash Sale | Digital Drive | Green Finance,2023-05-10,"30,455",LKR598.76
225,XBrand | Travel Smart | Get Rewarded | Gift Vouchers | Limited Time,XBrand | Lifestyle Rewards | Savings Fiesta | Gold Loan Offers | Diwali Deals,2023-05-11,"85,553","LKR1,917.56"
29,XBrand | Travel Smart | Weekend Treat | Gift Vouchers | Limited Time,XBrand | Diwali Deals | Savings Fiesta | Summer Bonanza,2023-05-11,"11,370",LKR220.72
203,XBrand | Zero Interest | Save More | Weekend Treat,XBrand | Lifestyle Rewards | Savings Fiesta | Flash Sale | Gold Loan Offers | Luxury Travel,2023-05-12,"94,948","LKR1,734.73"
5,XBrand | Save More | Bonus Points | Zero Interest | Travel Smart,XBrand | Diwali Deals | Savings Fiesta | Holiday Cashback | Green Finance,2023-05-12,"4,679",LKR132.61
662,XBrand | Easy Payments | Swipe and Win | Travel Smart | Exclusive Offer,XBrand | Summer Bonanza | Luxury Travel | Flash Sale,2023-05-13,"4,489","LKR2,003.85"
30,XBrand | Swipe and Win | Save More | Get Rewarded,XBrand | Lifestyle Rewards | Auto Loans Special | Savings Fiesta | Back to School | Diwali Deals,2023-05-13,"62,061","LKR1,522.72"
161,XBrand | Save More | Travel Smart | Weekend Treat,XBrand | Digital Drive | Lifestyle Rewards | Holiday Cashback,2023-05-13,"179,680","LKR4,735.28"
510,XBrand | Swipe and Win | Bonus Points | Win Big | Exclusive Offer,XBrand | Auto Loans Special | Savings Fiesta | Summer Bonanza,2023-05-14,"4,960","LKR1,996.31"
38,XBrand | Win Big | Swipe and Win | Easy Payments | Save More | Exclusive Offer,XBrand | Diwali Deals | Flash Sale | Savings Fiesta,2023-05-14,"43,172","LKR1,275.01"
158,XBrand | Save More | Swipe and Win | Travel Smart | Zero Interest,XBrand | Summer Bonanza | Gold Loan Offers | Digital Drive | Luxury Travel,2023-05-14,"166,439","LKR3,929.61"
"14,838",XBrand | Bonus Points | Zero Interest | Limited Time | Weekend Treat | Travel Smart,XBrand | Flash Sale | Digital Drive | Green Finance,2023-05-14,"23,742","LKR4,713.34"
"4,325",XBrand | Zero Interest | Bonus Points | Swipe and Win | Exclusive Offer,XBrand | Diwali Deals | Flash Sale | Savings Fiesta,2023-05-14,"150,911","LKR5,141.79"
"14,854",XBrand | Exclusive Offer | Get Rewarded | Travel Smart | Weekend Treat,XBrand | Flash Sale | Luxury Travel | Digital Drive | Lifestyle Rewards | Back to School,2023-05-14,"26,378","LKR4,562.20"
"4,796",XBrand | Gift Vouchers | Get Rewarded | Swipe and Win,XBrand | Flash Sale | Diwali Deals | Holiday Cashback,2023-05-14,"145,485","LKR4,296.27"
"13,101",XBrand | Bonus Points | Zero Interest | Weekend Treat | Exclusive Offer | Limited Time,XBrand | Luxury Travel | Savings Fiesta | Gold Loan Offers | Holiday Cashback,2023-05-14,"20,365","LKR4,302.85"
"6,161",XBrand | Gift Vouchers | Zero Interest | Limited Time | Travel Smart | Win Big,XBrand | Auto Loans Special | Luxury Travel | Flash Sale | Summer Bonanza,2023-05-14,"131,554","LKR5,414.60"
452,XBrand | Weekend Treat | Travel Smart | Win Big | Get Rewarded | Save More,XBrand | Lifestyle Rewards | Digital Drive | Holiday Cashback,2023-05-15,"4,691","LKR2,030.79"
29,XBrand | Gift Vouchers | Easy Payments | Swipe and Win | Limited Time | Travel Smart,XBrand | Back to School | Summer Bonanza | Lifestyle Rewards,2023-05-15,"45,345","LKR1,318.62"
16,XBrand | Save More | Limited Time | Easy Payments | Weekend Treat,XBrand | Gold Loan Offers | Green Finance | Auto Loans Special | Savings Fiesta,2023-05-15,"24,094",LKR566.90
"1,615",XBrand | Win Big | Save More | Get Rewarded | Travel Smart,XBrand | Flash Sale | Summer Bonanza | Holiday Cashback | Diwali Deals,2023-05-16,"53,012","LKR1,561.97"
"5,656",XBrand | Exclusive Offer | Swipe and Win | Bonus Points | Limited Time,XBrand | Digital Drive | Holiday Cashback | Summer Bonanza | Savings Fiesta,2023-05-16,"11,702","LKR1,464.03"
35,XBrand | Bonus Points | Easy Payments | Exclusive Offer,XBrand | Diwali Deals | Luxury Travel | Holiday Cashback | Back to School,2023-05-16,"24,356",LKR704.53
194,XBrand | Swipe and Win | Save More | Travel Smart | Weekend Treat,XBrand | Digital Drive | Auto Loans Special | Lifestyle Rewards,2023-05-16,"1,948",LKR545.39
